# TRUNCATED SAMPLE - first 10 rows of a real master_results.csv (llama405b sheet, gfx1250, 210/210 verified). Columns has_working_kernel/verified distinguish PASS from never-ran; likely_fail_reason is a heuristic.
shape_name,id_csv_entry,id_run,dtype,layout,M,N,K,transA,transB,compute_type,status,has_working_kernel,kernels_ok,verified,verified_count,working_kernel,verify_max_rel,best_tflops,best_latency_ms,verified_kernels,likely_fail_reason,unsupported
bf16_rcr_16032x9x16384,150459143,8611,bf16,rcr,16032,9,16384,T,N,f16_r,runnable,1,8,1,8,gemm_bf16_rcr_compv4_default_intrawave_True_True_True_True_64x64x64_2x2x1_16x16x32,0.0033849268220365047,11.373,0.41573,compv3_default_intrawave_pF;compv3_default_intrawave_pT;compv4_default_intrawave_pF;compv4_default_intrawave_pT;mem_default_interwave_pF;mem_default_interwave_pT;mem_default_intrawave_pF;mem_default_intrawave_pT,,0
bf16_rcr_16032x17x16384,150459144,8611,bf16,rcr,16032,17,16384,T,N,f16_r,runnable,1,8,1,8,gemm_bf16_rcr_compv4_default_intrawave_True_True_True_True_64x64x64_2x2x1_16x16x32,0.0034656778443604708,19.224,0.464564,compv3_default_intrawave_pF;compv3_default_intrawave_pT;compv4_default_intrawave_pF;compv4_default_intrawave_pT;mem_default_interwave_pF;mem_default_interwave_pT;mem_default_intrawave_pF;mem_default_intrawave_pT,,0
fp8_rcr_2304x1055x16384,150459145,8611,fp8,rcr,2304,1055,16384,T,N,f16_r,runnable,1,8,1,8,gemm_fp8_rcr_mem_default_intrawave_True_True_True_False_64x64x64_2x2x1_16x16x64,0.041270527988672256,564.871,0.141005,compv3_default_intrawave_pF;compv3_default_intrawave_pT;compv4_default_intrawave_pF;compv4_default_intrawave_pT;mem_default_interwave_pF;mem_default_interwave_pT;mem_default_intrawave_pF;mem_default_intrawave_pT,,0
bf16_rcr_16032x33x16384,150459146,8611,bf16,rcr,16032,33,16384,T,N,f16_r,runnable,1,8,1,8,gemm_bf16_rcr_compv4_default_intrawave_True_True_True_False_64x64x64_2x2x1_16x16x32,0.003878519870340824,36.521,0.474682,compv3_default_intrawave_pF;compv3_default_intrawave_pT;compv4_default_intrawave_pF;compv4_default_intrawave_pT;mem_default_interwave_pF;mem_default_interwave_pT;mem_default_intrawave_pF;mem_default_intrawave_pT,,0
fp8_rcr_16384x7391x6656,150459147,8611,fp8,rcr,16384,7391,6656,T,N,f16_r,runnable,1,8,1,8,gemm_fp8_rcr_compv3_default_intrawave_True_True_True_True_64x64x64_2x2x1_16x16x64,0.039561375975608826,900.619,1.789885,compv3_default_intrawave_pF;compv3_default_intrawave_pT;compv4_default_intrawave_pF;compv4_default_intrawave_pT;mem_default_interwave_pF;mem_default_interwave_pT;mem_default_intrawave_pF;mem_default_intrawave_pT,,0
bf16_rcr_16032x73x16384,150459148,8611,bf16,rcr,16032,73,16384,T,N,f16_r,runnable,1,8,1,8,gemm_bf16_rcr_compv3_default_intrawave_True_True_True_False_64x64x64_2x2x1_16x16x32,0.0034985635429620743,78.793,0.486713,compv3_default_intrawave_pF;compv3_default_intrawave_pT;compv4_default_intrawave_pF;compv4_default_intrawave_pT;mem_default_interwave_pF;mem_default_interwave_pT;mem_default_intrawave_pF;mem_default_intrawave_pT,,0
fp8_rcr_2304x7979x16384,150459149,8611,fp8,rcr,2304,7979,16384,T,N,f16_r,runnable,1,8,1,8,gemm_fp8_rcr_compv3_default_intrawave_True_True_True_True_64x64x64_2x2x1_16x16x64,0.040443673729896545,744.985,0.808599,compv3_default_intrawave_pF;compv3_default_intrawave_pT;compv4_default_intrawave_pF;compv4_default_intrawave_pT;mem_default_interwave_pF;mem_default_interwave_pT;mem_default_intrawave_pF;mem_default_intrawave_pT,,0
fp8_rcr_2304x7281x16384,150459150,8611,fp8,rcr,2304,7281,16384,T,N,f16_r,runnable,1,8,1,8,gemm_fp8_rcr_compv3_default_intrawave_True_True_True_True_64x64x64_2x2x1_16x16x64,0.03786766529083252,717.878,0.765725,compv3_default_intrawave_pF;compv3_default_intrawave_pT;compv4_default_intrawave_pF;compv4_default_intrawave_pT;mem_default_interwave_pF;mem_default_interwave_pT;mem_default_intrawave_pF;mem_default_intrawave_pT,,0
fp8_rcr_13312x1136x16384,150459151,8611,fp8,rcr,13312,1136,16384,T,N,f16_r,runnable,1,16,1,16,gemm_fp8_rcr_compv3_cshuffle_intrawave_True_True_True_True_64x64x64_2x2x1_16x16x64,0.03837114945054054,852.015,0.5816,compv3_cshuffle_intrawave_pF;compv3_cshuffle_intrawave_pT;compv3_default_intrawave_pF;compv3_default_intrawave_pT;compv4_cshuffle_intrawave_pF;compv4_cshuffle_intrawave_pT;compv4_default_intrawave_pF;compv4_default_intrawave_pT;mem_cshuffle_interwave_pF;mem_cshuffle_interwave_pT;mem_cshuffle_intrawave_pF;mem_cshuffle_intrawave_pT;mem_default_interwave_pF;mem_default_interwave_pT;mem_default_intrawave_pF;mem_default_intrawave_pT,,0
bf16_rcr_16032x80x16384,150459152,8611,bf16,rcr,16032,80,16384,T,N,f16_r,runnable,1,16,1,16,gemm_bf16_rcr_compv4_cshuffle_intrawave_True_True_True_True_64x64x64_2x2x1_16x16x32,0.0036790177691727877,87.122,0.482389,compv3_cshuffle_intrawave_pF;compv3_cshuffle_intrawave_pT;compv3_default_intrawave_pF;compv3_default_intrawave_pT;compv4_cshuffle_intrawave_pF;compv4_cshuffle_intrawave_pT;compv4_default_intrawave_pF;compv4_default_intrawave_pT;mem_cshuffle_interwave_pF;mem_cshuffle_interwave_pT;mem_cshuffle_intrawave_pF;mem_cshuffle_intrawave_pT;mem_default_interwave_pF;mem_default_interwave_pT;mem_default_intrawave_pF;mem_default_intrawave_pT,,0
