# TRUNCATED SAMPLE - first 10 rows of a real shape_index.csv (210 rows for the llama405b sheet). problem_idx is GROUP-LOCAL: it restarts at 0 for each (dtype,layout) group.
shape_name,id_csv_entry,id_run,dtype,layout,M,N,K,transA,transB,a_type,b_type,c_type,d_type,compute_type,status,problem_idx
bf16_rcr_16032x9x16384,150459143,8611,bf16,rcr,16032,9,16384,T,N,bf16_r,bf16_r,bf16_r,bf16_r,f16_r,runnable,0
bf16_rcr_16032x17x16384,150459144,8611,bf16,rcr,16032,17,16384,T,N,bf16_r,bf16_r,bf16_r,bf16_r,f16_r,runnable,1
fp8_rcr_2304x1055x16384,150459145,8611,fp8,rcr,2304,1055,16384,T,N,f8_r,f8_r,bf16_r,bf16_r,f16_r,runnable,0
bf16_rcr_16032x33x16384,150459146,8611,bf16,rcr,16032,33,16384,T,N,bf16_r,bf16_r,bf16_r,bf16_r,f16_r,runnable,2
fp8_rcr_16384x7391x6656,150459147,8611,fp8,rcr,16384,7391,6656,T,N,f8_r,f8_r,bf16_r,bf16_r,f16_r,runnable,1
bf16_rcr_16032x73x16384,150459148,8611,bf16,rcr,16032,73,16384,T,N,bf16_r,bf16_r,bf16_r,bf16_r,f16_r,runnable,3
fp8_rcr_2304x7979x16384,150459149,8611,fp8,rcr,2304,7979,16384,T,N,f8_r,f8_r,bf16_r,bf16_r,f16_r,runnable,2
fp8_rcr_2304x7281x16384,150459150,8611,fp8,rcr,2304,7281,16384,T,N,f8_r,f8_r,bf16_r,bf16_r,f16_r,runnable,3
fp8_rcr_13312x1136x16384,150459151,8611,fp8,rcr,13312,1136,16384,T,N,f8_r,f8_r,bf16_r,bf16_r,f16_r,runnable,4
bf16_rcr_16032x80x16384,150459152,8611,bf16,rcr,16032,80,16384,T,N,bf16_r,bf16_r,bf16_r,bf16_r,f16_r,runnable,4
